遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"偃师二里头","REL_UNIT_EXCAVATES","出土","K10","遗迹编号","饰","ocr",11,0.6,") Cc(77) HSL AL SIV K10 SE PA vec ce cece e seee(9"
"偃师二里头","REL_UNIT_EXCAVATES","出土","K10","遗迹编号","尊","ocr",11,0.6,") Cc(77) HSL AL SIV K10 SE PA vec ce cece e ses(10"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M18","遗迹编号","盆","ocr",11,0.6,"(122) — Bak wth FAV M18 平面图cece ccatvensncn  Ae:(1"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M18","遗迹编号","陶尊","ocr",11,0.6,"(122) — Bak wth FAV M18 平面图cece ccatvensncn eses(1"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M18","遗迹编号","饰","ocr",11,0.6,"(122) — Bak wth FAV M18 平面图cece ccatvensncn seee(9"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M18","遗迹编号","尊","ocr",11,0.6,"(122) — Bak wth FAV M18 平面图cece ccatvensncn ses(10"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M8","遗迹编号","盆","ocr",11,0.6,"(124) — sk 4h HA IV M8 平面图和入入村和相生 相生生全生生生生  Ae:(10"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M8","遗迹编号","陶尊","ocr",11,0.6,"(124) — sk 4h HA IV M8 平面图和入入村和相生 相生生全生生生生 eses(10"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M8","遗迹编号","饰","ocr",11,0.6,"(124) — sk 4h HA IV M8 平面图和入入村和相生 相生生全生生生生 seee(92"
"偃师二里头","REL_UNIT_EXCAVATES","出土","M8","遗迹编号","尊","ocr",11,0.6,"(124) — sk 4h HA IV M8 平面图和入入村和相生 相生生全生生生生 ses(107"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",11,0.5,"70 71 72 73  候师二里头  二里头文化一期遗和并，人pp(68) 二里头文化一"
