遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1001","遗迹编号","骨管","ocr",13,0.6,"EMA ei Ati 钢泡 (A BY M1001: 104) FN, HATS - HA  BS,"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","泡","ocr",13,0.6,"         (162) #490 M1009 …                   铜辖 A"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","饰","ocr",13,0.6,"         (162) #490 M1009 …                   , BR"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","骨管","ocr",13,0.6,"         (162) #490 M1009 …                    BS,"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","泡","ocr",13,0.6,"           (72) 车马坑 M1058 平面图                 铜辖 A"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","饰","ocr",13,0.6,"           (72) 车马坑 M1058 平面图                 , BR"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","骨管","ocr",13,0.6,"           (72) 车马坑 M1058 平面图                  BS,"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M0026","遗迹编号","泡","ocr",13,0.6,"         《185)  车马坑 M0026 的2号车平面图、侧视图  (188)  铜辖 A"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M0026","遗迹编号","饰","ocr",13,0.6,"         《185)  车马坑 M0026 的2号车平面图、侧视图  (188)  , BR"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M0026","遗迹编号","骨管","ocr",13,0.6,"         《185)  车马坑 M0026 的2号车平面图、侧视图  (188)   BS,"
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1001","遗迹编号","车马坑","遗迹类型",13,0.65,"              (153) 车马坑车子构件复原示意图           "
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1009","遗迹编号","车马坑","遗迹类型",13,0.65,"              (153) 车马坑车子构件复原示意图           "
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1058","遗迹编号","车马坑","遗迹类型",13,0.65,"              (153) 车马坑车子构件复原示意图           "
"临猗程村墓地","REL_UNIT_TYPE","类型为","M0026","遗迹编号","车马坑","遗迹类型",13,0.65,"              (153) 车马坑车子构件复原示意图           "
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M0026","遗迹编号",14,0.7,"捅图目录  图 145 车马坑 M0026、MI1009 和 M1058     "
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M1058","遗迹编号",14,0.7," 车马坑 M0026、MI1009 和 M1058                    "
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M1076","遗迹编号",14,0.7,"     (190) 图 146 车坑 M1076 俯视图 …              "
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M1009","遗迹编号",14,0.7,"    (19s) 图 149 车马坑 M1009 的5号车 -             "
